"SEX","GEO","UNIT","TIME","AGE","ICD10","Value","Flag and Footnotes"
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of bladder","8.92",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of brain and central nervous system","6.56",""
"Total","Belgium","Rate","2011","Total","Malignant neoplasm of thyroid gland","0.89",""
"Total","Belgium","Rate","2011","Total","Hodgkin disease and lymphomas","7.13",""
"Total","Belgium","Rate","2011","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","5.12",""
"Total","Belgium","Rate","2011","Total","Leukaemia","8.69",""
"Total","Belgium","Rate","2011","Total","Other malignant neoplasms (remainder of C00-C97)","31.21",""
"Total","Belgium","Rate","2011","Total","Non-malignant neoplasms (benign and uncertain)","9.16",""
"Total","Belgium","Rate","2011","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","3.57",""
"Total","Belgium","Rate","2011","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","26.62",""
"Total","Belgium","Rate","2011","Total","Diabetes mellitus","15.76",""
"Total","Belgium","Rate","2011","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","10.86",""
"Total","Belgium","Rate","2011","Total","Mental and behavioural disorders (F00-F99)","38.86",""
"Total","Belgium","Rate","2011","Total","Dementia","31.95",""
"Total","Belgium","Rate","2011","Total","Mental and behavioural disorders due to use of alcohol","3.37",""
"Total","Belgium","Rate","2011","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.27",""
"Total","Belgium","Rate","2011","Total","Other mental and behavioural disorders (remainder of F00-F99)","3.26",""
"Total","Belgium","Rate","2011","Total","Diseases of the nervous system and the sense organs (G00-H95)","45.51",""
"Total","Belgium","Rate","2011","Total","Parkinson disease","8.31",""
"Total","Belgium","Rate","2011","Total","Alzheimer disease","22.4",""
"Total","Belgium","Rate","2011","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","14.8",""
"Total","Belgium","Rate","2011","Total","Diseases of the circulatory system (I00-I99)","311.36",""
"Total","Belgium","Rate","2011","Total","Ischaemic heart diseases","84.96",""
"Total","Belgium","Rate","2011","Total","Acute myocardial infarction including subsequent myocardial infarction","50.16",""
"Total","Belgium","Rate","2011","Total","Other ischaemic heart diseases","34.8",""
"Total","Belgium","Rate","2011","Total","Other heart diseases","120.32",""
"Total","Belgium","Rate","2011","Total","Cerebrovascular diseases","68.97",""
"Total","Belgium","Rate","2011","Total","Other diseases of the circulatory system (remainder of I00-I99)","37.11",""
"Total","Belgium","Rate","2011","Total","Diseases of the respiratory system (J00-J99)","104.94",""
"Total","Belgium","Rate","2011","Total","Influenza (including swine flu)","0.52",""
"Total","Belgium","Rate","2011","Total","Pneumonia","34.9",""
"Total","Belgium","Rate","2011","Total","Chronic lower respiratory diseases","42.79",""
"Total","Belgium","Rate","2011","Total","Asthma and status asthmaticus","1.17",""
"Total","Belgium","Rate","2011","Total","Other lower respiratory diseases","41.62",""
"Total","Belgium","Rate","2011","Total","Other diseases of the respiratory system (remainder of J00-J99)","26.74",""
"Total","Belgium","Rate","2011","Total","Diseases of the digestive system (K00-K93)","45.41",""
"Total","Belgium","Rate","2011","Total","Ulcer of stomach, duodenum and jejunum","2.73",""
"Total","Belgium","Rate","2011","Total","Chronic liver disease","11.23",""
"Total","Belgium","Rate","2011","Total","Other diseases of the digestive system (remainder of K00-K93)","31.45",""
"Total","Belgium","Rate","2011","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","2.72",""
"Total","Belgium","Rate","2011","Total","Diseases of the musculoskeletal system and connective tissue (M00-M99)","4.92",""
"Total","Belgium","Rate","2011","Total","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.84",""
"Total","Belgium","Rate","2011","Total","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","4.08",""
"Total","Belgium","Rate","2011","Total","Diseases of the genitourinary system (N00-N99)","25.6",""
"Total","Belgium","Rate","2011","Total","Diseases of kidney and ureter","17.47",""
"Total","Belgium","Rate","2011","Total","Other diseases of the genitourinary system (remainder of N00-N99)","8.14",""
"Total","Belgium","Rate","2011","Total","Pregnancy, childbirth and the puerperium (O00-O99)","0.08",""
"Total","Belgium","Rate","2011","Total","Certain conditions originating in the perinatal period (P00-P96)","1.71",""
"Total","Belgium","Rate","2011","Total","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","1.91",""
"Total","Belgium","Rate","2011","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","44.08",""
"Total","Belgium","Rate","2011","Total","Sudden infant death syndrome","0.22",""
"Total","Belgium","Rate","2011","Total","Ill-defined and unknown causes of mortality","12.08",""
"Total","Belgium","Rate","2011","Total","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","31.77",""
"Total","Belgium","Rate","2011","Total","External causes of morbidity and mortality (V01-Y89)","65.46",""
"Total","Belgium","Rate","2011","Total","Accidents (V01-X59, Y85, Y86)","40.21",""
"Total","Belgium","Rate","2011","Total","Transport accidents (V01-V99, Y85)","8.53",""
"Total","Belgium","Rate","2011","Total","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","16.04",""
"Total","Belgium","Rate","2011","Total","Falls","13.15",""
"Total","Belgium","Rate","2011","Total","Accidental drowning and submersion","0.72",""
"Total","Belgium","Rate","2011","Total","Intentional self-harm","19.25",""
"Total","Belgium","Rate","2011","Total","Accidental poisoning by and exposure to noxious substances","1.77",""
"Total","Belgium","Rate","2011","Total","Assault","1.35",""
"Total","Belgium","Rate","2011","Total","Event of undetermined intent","2.69",""
"Total","Belgium","Rate","2011","Total","Other external causes of morbidity and mortality (remainder of V01-Y89)","1.95",""
"Total","Belgium","Rate","2011","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","211.37",""
"Total","Belgium","Rate","2011","Less than 65 years","Certain infectious and parasitic diseases (A00-B99)","4.14",""
"Total","Belgium","Rate","2011","Less than 65 years","Tuberculosis","0.14",""
"Total","Belgium","Rate","2011","Less than 65 years","Viral hepatitis and sequelae of viral hepatitis","0.25",""
"Total","Belgium","Rate","2011","Less than 65 years","Human immunodeficiency virus [HIV] disease","0.45",""
"Total","Belgium","Rate","2011","Less than 65 years","Other infectious and parasitic diseases (remainder of A00-B99)","3.31",""
"Total","Belgium","Rate","2011","Less than 65 years","Neoplasms","80.59",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasms (C00-C97)","79.48",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of lip, oral cavity, pharynx","2.86",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of oesophagus","2.64",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of stomach","2.09",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","6.02",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of liver and intrahepatic bile ducts","2.52",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of pancreas","4.11",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of larynx","0.89",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of trachea, bronchus and lung","23.11",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant melanoma of skin","1.6",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of breast","9.08",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of cervix uteri","1.17",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of other parts of uterus","0.74",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of ovary","2.09",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of prostate","1.2",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of kidney, except renal pelvis","1.28",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of bladder","1.29",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of brain and central nervous system","3.6",""
"Total","Belgium","Rate","2011","Less than 65 years","Malignant neoplasm of thyroid gland","0.26",""
"Total","Belgium","Rate","2011","Less than 65 years","Hodgkin disease and lymphomas","1.68",""
"Total","Belgium","Rate","2011","Less than 65 years","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","0.98",""
"Total","Belgium","Rate","2011","Less than 65 years","Leukaemia","1.75",""
"Total","Belgium","Rate","2011","Less than 65 years","Other malignant neoplasms (remainder of C00-C97)","8.54",""
"Total","Belgium","Rate","2011","Less than 65 years","Non-malignant neoplasms (benign and uncertain)","1.11",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","0.66",""
"Total","Belgium","Rate","2011","Less than 65 years","Endocrine, nutritional and metabolic diseases (E00-E90)","4.22",""
"Total","Belgium","Rate","2011","Less than 65 years","Diabetes mellitus","2.04",""
"Total","Belgium","Rate","2011","Less than 65 years","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","2.18",""
"Total","Belgium","Rate","2011","Less than 65 years","Mental and behavioural disorders (F00-F99)","4.51",""
"Total","Belgium","Rate","2011","Less than 65 years","Dementia","0.31",""
"Total","Belgium","Rate","2011","Less than 65 years","Mental and behavioural disorders due to use of alcohol","2.83",""
"Total","Belgium","Rate","2011","Less than 65 years","Drug dependence, toxicomania (F11-F16, F18-F19)","0.34",""
"Total","Belgium","Rate","2011","Less than 65 years","Other mental and behavioural disorders (remainder of F00-F99)","1.03",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the nervous system and the sense organs (G00-H95)","5.84",""
"Total","Belgium","Rate","2011","Less than 65 years","Parkinson disease","0.17",""
"Total","Belgium","Rate","2011","Less than 65 years","Alzheimer disease","0.33",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","5.34",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the circulatory system (I00-I99)","34.98",""
"Total","Belgium","Rate","2011","Less than 65 years","Ischaemic heart diseases","13.84",""
"Total","Belgium","Rate","2011","Less than 65 years","Acute myocardial infarction including subsequent myocardial infarction","10.51",""
"Total","Belgium","Rate","2011","Less than 65 years","Other ischaemic heart diseases","3.33",""
"Total","Belgium","Rate","2011","Less than 65 years","Other heart diseases","10.39",""
"Total","Belgium","Rate","2011","Less than 65 years","Cerebrovascular diseases","6.09",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the circulatory system (remainder of I00-I99)","4.65",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the respiratory system (J00-J99)","11.22",""
"Total","Belgium","Rate","2011","Less than 65 years","Influenza (including swine flu)","0.23",""
"Total","Belgium","Rate","2011","Less than 65 years","Pneumonia","2.41",""
"Total","Belgium","Rate","2011","Less than 65 years","Chronic lower respiratory diseases","6.37",""
"Total","Belgium","Rate","2011","Less than 65 years","Asthma and status asthmaticus","0.31",""
"Total","Belgium","Rate","2011","Less than 65 years","Other lower respiratory diseases","6.06",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the respiratory system (remainder of J00-J99)","2.21",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the digestive system (K00-K93)","12.57",""
"Total","Belgium","Rate","2011","Less than 65 years","Ulcer of stomach, duodenum and jejunum","0.39",""
"Total","Belgium","Rate","2011","Less than 65 years","Chronic liver disease","7.7",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the digestive system (remainder of K00-K93)","4.48",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the skin and subcutaneous tissue (L00-L99)","0.17",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the musculoskeletal system and connective tissue (M00-M99)","0.69",""
"Total","Belgium","Rate","2011","Less than 65 years","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.02",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","0.67",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of the genitourinary system (N00-N99)","1.45",""
"Total","Belgium","Rate","2011","Less than 65 years","Diseases of kidney and ureter","1.07",""
"Total","Belgium","Rate","2011","Less than 65 years","Other diseases of the genitourinary system (remainder of N00-N99)","0.37",""
"Total","Belgium","Rate","2011","Less than 65 years","Pregnancy, childbirth and the puerperium (O00-O99)","0.1",""
"Total","Belgium","Rate","2011","Less than 65 years","Certain conditions originating in the perinatal period (P00-P96)","2.13",""
"Total","Belgium","Rate","2011","Less than 65 years","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.14",""
"Total","Belgium","Rate","2011","Less than 65 years","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","7.47",""
"Total","Belgium","Rate","2011","Less than 65 years","Sudden infant death syndrome","0.28",""
"Total","Belgium","Rate","2011","Less than 65 years","Ill-defined and unknown causes of mortality","4.22",""
"Total","Belgium","Rate","2011","Less than 65 years","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","2.97",""
"Total","Belgium","Rate","2011","Less than 65 years","External causes of morbidity and mortality (V01-Y89)","38.48",""
"Total","Belgium","Rate","2011","Less than 65 years","Accidents (V01-X59, Y85, Y86)","16.46",""
"Total","Belgium","Rate","2011","Less than 65 years","Transport accidents (V01-V99, Y85)","7.79",""
"Total","Belgium","Rate","2011","Less than 65 years","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","3.75",""
"Total","Belgium","Rate","2011","Less than 65 years","Falls","2.83",""
"Total","Belgium","Rate","2011","Less than 65 years","Accidental drowning and submersion","0.62",""
"Total","Belgium","Rate","2011","Less than 65 years","Intentional self-harm","17.81",""
"Total","Belgium","Rate","2011","Less than 65 years","Accidental poisoning by and exposure to noxious substances","1.46",""
"Total","Belgium","Rate","2011","Less than 65 years","Assault","1.39",""
"Total","Belgium","Rate","2011","Less than 65 years","Event of undetermined intent","2.47",""
"Total","Belgium","Rate","2011","Less than 65 years","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.35",""
"Total","Belgium","Rate","2012","Total","All causes of death (A00-Y89) excluding S00-T98","1,051.21",""
"Total","Belgium","Rate","2012","Total","Certain infectious and parasitic diseases (A00-B99)","25.08",""
"Total","Belgium","Rate","2012","Total","Tuberculosis","0.51",""
"Total","Belgium","Rate","2012","Total","Viral hepatitis and sequelae of viral hepatitis","0.84",""
"Total","Belgium","Rate","2012","Total","Human immunodeficiency virus [HIV] disease","0.36",""
"Total","Belgium","Rate","2012","Total","Other infectious and parasitic diseases (remainder of A00-B99)","23.37",""
"Total","Belgium","Rate","2012","Total","Neoplasms","273.27",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasms (C00-C97)","260.05",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of lip, oral cavity, pharynx","5.53",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of oesophagus","6.91",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of stomach","7.73",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","29.01",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of liver and intrahepatic bile ducts","8.15",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of pancreas","15.27",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of larynx","1.86",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of trachea, bronchus and lung","60.9",""
"Total","Belgium","Rate","2012","Total","Malignant melanoma of skin","2.79",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of breast","22.31",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of cervix uteri","1.67",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of other parts of uterus","3.49",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of ovary","6.5",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of prostate","13.39",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of kidney, except renal pelvis","5.23",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of bladder","9.16",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of brain and central nervous system","6.63",""
"Total","Belgium","Rate","2012","Total","Malignant neoplasm of thyroid gland","0.91",""
"Total","Belgium","Rate","2012","Total","Hodgkin disease and lymphomas","6.9",""
"Total","Belgium","Rate","2012","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","5.04",""
"Total","Belgium","Rate","2012","Total","Leukaemia","9.16",""
"Total","Belgium","Rate","2012","Total","Other malignant neoplasms (remainder of C00-C97)","31.52",""
"Total","Belgium","Rate","2012","Total","Non-malignant neoplasms (benign and uncertain)","13.21",""
"Total","Belgium","Rate","2012","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","4.22",""
"Total","Belgium","Rate","2012","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","28.99",""
"Total","Belgium","Rate","2012","Total","Diabetes mellitus","16.57",""
"Total","Belgium","Rate","2012","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","12.42",""
"Total","Belgium","Rate","2012","Total","Mental and behavioural disorders (F00-F99)","45.23",""
"Total","Belgium","Rate","2012","Total","Dementia","37.57",""
"Total","Belgium","Rate","2012","Total","Mental and behavioural disorders due to use of alcohol","3.98",""
"Total","Belgium","Rate","2012","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.32",""
"Total","Belgium","Rate","2012","Total","Other mental and behavioural disorders (remainder of F00-F99)","3.36",""
"Total","Belgium","Rate","2012","Total","Diseases of the nervous system and the sense organs (G00-H95)","51.94",""
"Total","Belgium","Rate","2012","Total","Parkinson disease","9.12",""
"Total","Belgium","Rate","2012","Total","Alzheimer disease","25.61",""
"Total","Belgium","Rate","2012","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","17.22",""
"Total","Belgium","Rate","2012","Total","Diseases of the circulatory system (I00-I99)","308.89",""
"Total","Belgium","Rate","2012","Total","Ischaemic heart diseases","82.61",""
"Total","Belgium","Rate","2012","Total","Acute myocardial infarction including subsequent myocardial infarction","48.45",""
"Total","Belgium","Rate","2012","Total","Other ischaemic heart diseases","34.16",""
"Total","Belgium","Rate","2012","Total","Other heart diseases","122.55",""
"Total","Belgium","Rate","2012","Total","Cerebrovascular diseases","68.25",""
"Total","Belgium","Rate","2012","Total","Other diseases of the circulatory system (remainder of I00-I99)","35.48",""
"Total","Belgium","Rate","2012","Total","Diseases of the respiratory system (J00-J99)","111.22",""
"Total","Belgium","Rate","2012","Total","Influenza (including swine flu)","1.12",""
"Total","Belgium","Rate","2012","Total","Pneumonia","36.03",""
"Total","Belgium","Rate","2012","Total","Chronic lower respiratory diseases","46.19",""
"Total","Belgium","Rate","2012","Total","Asthma and status asthmaticus","1.21",""
"Total","Belgium","Rate","2012","Total","Other lower respiratory diseases","44.98",""
"Total","Belgium","Rate","2012","Total","Other diseases of the respiratory system (remainder of J00-J99)","27.87",""
"Total","Belgium","Rate","2012","Total","Diseases of the digestive system (K00-K93)","47.81",""
"Total","Belgium","Rate","2012","Total","Ulcer of stomach, duodenum and jejunum","1.98",""
"Total","Belgium","Rate","2012","Total","Chronic liver disease","12.3",""
"Total","Belgium","Rate","2012","Total","Other diseases of the digestive system (remainder of K00-K93)","33.53",""
"Total","Belgium","Rate","2012","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","2.63",""
"Total","Belgium","Rate","2012","Total","Diseases of the musculoskeletal system and connective tissue (M00-M99)","5.72",""
"Total","Belgium","Rate","2012","Total","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","1.12",""
"Total","Belgium","Rate","2012","Total","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","4.6",""
"Total","Belgium","Rate","2012","Total","Diseases of the genitourinary system (N00-N99)","24.68",""
"Total","Belgium","Rate","2012","Total","Diseases of kidney and ureter","19.41",""
"Total","Belgium","Rate","2012","Total","Other diseases of the genitourinary system (remainder of N00-N99)","5.27",""
"Total","Belgium","Rate","2012","Total","Pregnancy, childbirth and the puerperium (O00-O99)","0.04",""
"Total","Belgium","Rate","2012","Total","Certain conditions originating in the perinatal period (P00-P96)","1.69",""
"Total","Belgium","Rate","2012","Total","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.5",""
"Total","Belgium","Rate","2012","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","49.71",""
"Total","Belgium","Rate","2012","Total","Sudden infant death syndrome","0.23",""
"Total","Belgium","Rate","2012","Total","Ill-defined and unknown causes of mortality","10.57",""
"Total","Belgium","Rate","2012","Total","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","38.91",""
"Total","Belgium","Rate","2012","Total","External causes of morbidity and mortality (V01-Y89)","67.58",""
"Total","Belgium","Rate","2012","Total","Accidents (V01-X59, Y85, Y86)","42.79",""
"Total","Belgium","Rate","2012","Total","Transport accidents (V01-V99, Y85)","7.52",""
"Total","Belgium","Rate","2012","Total","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","18.38",""
"Total","Belgium","Rate","2012","Total","Falls","14.49",""
"Total","Belgium","Rate","2012","Total","Accidental drowning and submersion","0.57",""
"Total","Belgium","Rate","2012","Total","Intentional self-harm","18.76",""
"Total","Belgium","Rate","2012","Total","Accidental poisoning by and exposure to noxious substances","1.83",""
"Total","Belgium","Rate","2012","Total","Assault","1.16",""
"Total","Belgium","Rate","2012","Total","Event of undetermined intent","3.56",""
"Total","Belgium","Rate","2012","Total","Other external causes of morbidity and mortality (remainder of V01-Y89)","1.32",""
"Total","Belgium","Rate","2012","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","208.72",""
"Total","Belgium","Rate","2012","Less than 65 years","Certain infectious and parasitic diseases (A00-B99)","4.25",""
"Total","Belgium","Rate","2012","Less than 65 years","Tuberculosis","0.13",""
"Total","Belgium","Rate","2012","Less than 65 years","Viral hepatitis and sequelae of viral hepatitis","0.29",""
"Total","Belgium","Rate","2012","Less than 65 years","Human immunodeficiency virus [HIV] disease","0.4",""
"Total","Belgium","Rate","2012","Less than 65 years","Other infectious and parasitic diseases (remainder of A00-B99)","3.43",""
"Total","Belgium","Rate","2012","Less than 65 years","Neoplasms","79.18",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasms (C00-C97)","77.63",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of lip, oral cavity, pharynx","3.5",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of oesophagus","2.94",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of stomach","2.21",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","6.36",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of liver and intrahepatic bile ducts","2.42",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of pancreas","3.97",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of larynx","0.97",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of trachea, bronchus and lung","22.3",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant melanoma of skin","1.15",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of breast","7.72",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of cervix uteri","0.93",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of other parts of uterus","0.75",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of ovary","1.74",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of prostate","1.03",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of kidney, except renal pelvis","1.25",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of bladder","1.54",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of brain and central nervous system","3.73",""
"Total","Belgium","Rate","2012","Less than 65 years","Malignant neoplasm of thyroid gland","0.18",""
"Total","Belgium","Rate","2012","Less than 65 years","Hodgkin disease and lymphomas","1.49",""
"Total","Belgium","Rate","2012","Less than 65 years","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","0.91",""
"Total","Belgium","Rate","2012","Less than 65 years","Leukaemia","1.82",""
"Total","Belgium","Rate","2012","Less than 65 years","Other malignant neoplasms (remainder of C00-C97)","8.74",""
"Total","Belgium","Rate","2012","Less than 65 years","Non-malignant neoplasms (benign and uncertain)","1.55",""
"Total","Belgium","Rate","2012","Less than 65 years","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","0.91",""
"Total","Belgium","Rate","2012","Less than 65 years","Endocrine, nutritional and metabolic diseases (E00-E90)","4.47",""
"Total","Belgium","Rate","2012","Less than 65 years","Diabetes mellitus","2.11",""
"Total","Belgium","Rate","2012","Less than 65 years","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","2.36",""
"Total","Belgium","Rate","2012","Less than 65 years","Mental and behavioural disorders (F00-F99)","4.92",""
"Total","Belgium","Rate","2012","Less than 65 years","Dementia","0.3",""
"Total","Belgium","Rate","2012","Less than 65 years","Mental and behavioural disorders due to use of alcohol","3.02",""
"Total","Belgium","Rate","2012","Less than 65 years","Drug dependence, toxicomania (F11-F16, F18-F19)","0.34",""
"Total","Belgium","Rate","2012","Less than 65 years","Other mental and behavioural disorders (remainder of F00-F99)","1.26",""
"Total","Belgium","Rate","2012","Less than 65 years","Diseases of the nervous system and the sense organs (G00-H95)","6.16",""
